"","source","X","Y","TreeID","Year","Status","DBH","Notes"
"1","Red-Tail Ridge",-142.081476796913,207.884419742656,707,1999,"L",3,NA
"2","Red-Tail Ridge",208.955100495043,-69.5373053782733,634,1999,"L",3,NA
"3","Red-Tail Ridge",150.974508709553,57.3493480338624,33,1999,"L",3,NA
"4","Red-Tail Ridge",20.1877486452241,247.398570092299,743,1999,"L",3,NA
"5","Red-Tail Ridge",65.7605683192716,-65.7612929794298,941,1999,"L",3,NA
"6","Red-Tail Ridge",73.5471025560995,-65.0696834601382,943,1999,"L",3,NA
"7","Red-Tail Ridge",227.871498614773,142.662019148133,886,1999,"L",3,NA
"8","Red-Tail Ridge",218.779710324794,-67.9158069388394,629,1999,"L",3,NA
"9","Red-Tail Ridge",38.3723494936819,124.730961650806,790,1999,"L",3,NA
"10","Red-Tail Ridge",58.5686896093891,-74.1617057344223,873,1999,"L",3,"broken top"
"11","Red-Tail Ridge",-31.9452029156477,207.048395276232,737,1999,"L",3,NA
"12","Red-Tail Ridge",187.169879739174,-18.6827759827911,588,1999,"D",4,"dead"
"13","Red-Tail Ridge",59.339508252336,-76.2258667407,872,1999,"L",4,"dead top"
"14","Red-Tail Ridge",0.808434706021495,154.397883513104,794,1999,"L",4,NA
"15","Red-Tail Ridge",59.4056749849797,-65.0582491278312,939,1999,"L",4,NA
"16","Red-Tail Ridge",143.573889675419,218.266323788113,967,1999,"L",4,NA
"17","Red-Tail Ridge",-143.098653003345,209.685275507906,834,1999,"D",4,"dead"
"18","Red-Tail Ridge",212.64046337212,185.957673294959,892,1999,"L",8,NA
"19","Red-Tail Ridge",185.823365585508,178.939734122745,968,1999,"L",4,NA
"20","Red-Tail Ridge",460.282519247418,-58.6224235559162,620,1999,"L",4,"growing in old road"
"21","Red-Tail Ridge",70.8136301918217,160.290159554224,699,1999,"L",4,NA
"22","Red-Tail Ridge",-144.185520522522,210.575650270749,833,1999,"L",4,"BULLETPROOF!"
"23","Red-Tail Ridge",56.464377803246,-93.2350472692125,867,1999,"L",4,"broken top"
"24","Red-Tail Ridge",46.0080678881558,135.924639742759,791,1999,"L",4,NA
"25","Red-Tail Ridge",-206.196390624337,193.110397059252,715,1999,"L",5,NA
"26","Red-Tail Ridge",-93.6757223577543,145.919220943483,727,1999,"L",5,NA
"27","Red-Tail Ridge",19.3931725034069,113.454461614575,841,1999,"L",5,NA
"28","Red-Tail Ridge",188.648352325336,-29.8797450614275,572,1999,"L",5,NA
"29","Red-Tail Ridge",412.286464986941,-29.52145319793,624,1999,"L",5,NA
"30","Red-Tail Ridge",96.9858271126585,-84.9055907421503,668,1999,"L",5,NA
"31","Red-Tail Ridge",484.453627088607,-50.527998988589,622,1999,"L",5,"growing in old road"
"32","Red-Tail Ridge",56.086434575525,-99.133858275593,868,1999,"L",5,"lost terminal"
"33","Red-Tail Ridge",54.2556209591551,-67.2405204793694,937,1999,"L",5,NA
"34","Red-Tail Ridge",53.7366283172135,-57.224337279672,936,1999,"D",5,"dead 4/99"
"35","Red-Tail Ridge",40.8667241168481,240.020165278047,748,1999,"L",5,NA
"36","Red-Tail Ridge",236.052470816096,-0.99795692642752,569,1999,"L",5,NA
"37","Red-Tail Ridge",213.796533903664,-71.806335848102,630,1999,"L",5,NA
"38","Red-Tail Ridge",212.514117393239,-72.6910310762869,633,1999,"L",5,NA
"39","Red-Tail Ridge",123.317140013557,4.52139125455025,638,1999,"L",5,NA
"40","Red-Tail Ridge",107.541997900349,-90.8810139006018,664,1999,"L",5,NA
"41","Red-Tail Ridge",97.055200930817,-84.3697100402671,667,1999,"L",5,NA
"42","Red-Tail Ridge",35.9267339507626,118.994788909562,789,1999,"L",5,NA
"43","Red-Tail Ridge",56.3827319619848,-101.718619418978,870,1999,"L",5,"dead top"
"44","Red-Tail Ridge",-8.2045785701877,-4.16231792221795,920,1999,"L",5,NA
"45","Red-Tail Ridge",73.7469494059593,-69.7397838634081,942,1999,"L",5,NA
"46","Red-Tail Ridge",188.418314319548,-21.1352508615336,581,1999,"L",5,NA
"47","Red-Tail Ridge",237.681144216484,156.355033199966,888,1999,"L",5,NA
"48","Red-Tail Ridge",-137.290924991476,208.354107043767,708,1999,"L",5,NA
"49","Red-Tail Ridge",-206.119801088263,166.309273199104,717,1999,"L",5,NA
"50","Red-Tail Ridge",60.1789936140926,-68.2604477541351,940,1999,"L",5,NA
"51","Red-Tail Ridge",136.208441297036,-4.99504949244986,973,1999,"L",6,NA
"52","Red-Tail Ridge",178.791742025575,69.7074098174676,975,1999,"L",6,NA
"53","Red-Tail Ridge",99.6888697509005,148.898527055264,979,1999,"L",6,"dead top"
"54","Red-Tail Ridge",-31.3083027253661,32.8778068072801,917,1999,"L",6,NA
"55","Red-Tail Ridge",-12.2142570378826,-9.54263721476062,923,1999,"L",6,NA
"56","Red-Tail Ridge",46.9181559513311,-67.0069148829177,949,1999,"L",6,NA
"57","Red-Tail Ridge",340.387102588136,25.3338471213397,528,1999,"L",6,NA
"58","Red-Tail Ridge",141.418633813651,-7.16449651270574,643,1999,"L",6,NA
"59","Red-Tail Ridge",117.499738653726,151.291356488353,911,1999,"L",6,NA
"60","Red-Tail Ridge",-63.6972839103056,-61.2961338295486,962,1999,"L",6,NA
"61","Red-Tail Ridge",442.87478205304,172.857823379448,701,1999,"L",6,NA
"62","Red-Tail Ridge",-82.4770855068537,174.029794223716,732,1999,"L",6,NA
"63","Red-Tail Ridge",167.035929697081,53.6030118891181,652,1999,"L",6,NA
"64","Red-Tail Ridge",95.4136769362669,-84.1193809624256,669,1999,"L",6,NA
