group,Distance*,L(d),Diff,Min L(d),Max L(d),ExpectedK,ObservedK,DiffK,LwConfEnv,HiConfEnv
Redtail DBH delta < 5,19.97,31.07,11.1,17.63,21.64,19.97,31.07,11.1,17.63,21.64
Redtail DBH delta < 5,39.94,52.86,12.91,36.7,40.36,39.94,52.86,12.91,36.7,40.36
Redtail DBH delta < 5,59.91,72.66,12.74,55,58.89,59.91,72.66,12.74,55,58.89
Redtail DBH delta < 5,79.89,92.06,12.17,72.15,76.96,79.89,92.06,12.17,72.15,76.96
Redtail DBH delta < 5,99.86,110.23,10.37,88.34,94.66,99.86,110.23,10.37,88.34,94.66
Redtail DBH delta < 5,119.83,128.45,8.62,104.06,111.37,119.83,128.45,8.62,104.06,111.37
Redtail DBH delta < 5,139.8,144.1,4.3,118.51,126.97,139.8,144.1,4.3,118.51,126.97
Redtail DBH delta < 5,159.77,159.18,-0.59,132.41,141.92,159.77,159.18,-0.59,132.41,141.92
Redtail DBH delta < 5,179.74,174.1,-5.64,145.17,155.77,179.74,174.1,-5.64,145.17,155.77
Redtail DBH delta < 5,199.72,188.49,-11.22,157.15,169.12,199.72,188.49,-11.22,157.15,169.12
Caffey  DBH delta < 5,22.95,43.31,20.37,18.37,25.98,22.95,43.31,20.37,18.37,25.98
Caffey  DBH delta < 5,45.89,67.43,21.53,40.23,49.92,45.89,67.43,21.53,40.23,49.92
Caffey  DBH delta < 5,68.84,89.89,21.05,60.28,69.39,68.84,89.89,21.05,60.28,69.39
Caffey  DBH delta < 5,91.79,107.36,15.57,79.21,90.66,91.79,107.36,15.57,79.21,90.66
Caffey  DBH delta < 5,114.74,123.8,9.07,96.19,110.09,114.74,123.8,9.07,96.19,110.09
Caffey  DBH delta < 5,137.68,137.01,-0.67,112.46,128.64,137.68,137.01,-0.67,112.46,128.64
Caffey  DBH delta < 5,160.63,149.55,-11.08,128.29,146.74,160.63,149.55,-11.08,128.29,146.74
Caffey  DBH delta < 5,183.58,160.72,-22.86,143.69,164.32,183.58,160.72,-22.86,143.69,164.32
Caffey  DBH delta < 5,206.52,169.93,-36.59,158.2,179.37,206.52,169.93,-36.59,158.2,179.37
Caffey  DBH delta < 5,229.47,177.37,-52.11,171.13,192.48,229.47,177.37,-52.11,171.13,192.48
Caffey  DBH delta >= 5,22.947018,35.97,13.022981,20.11475,25.565401,22.947018,35.97,13.022981,20.11475,25.565401
Caffey  DBH delta >= 5,45.894037,61.944013,16.049976,41.907571,46.24518,45.894037,61.944013,16.049976,41.907571,46.24518
Caffey  DBH delta >= 5,68.841055,82.127146,13.286091,61.003769,67.343243,68.841055,82.127146,13.286091,61.003769,67.343243
Caffey  DBH delta >= 5,91.788073,98.857081,7.069008,80.265355,87.678162,91.788073,98.857081,7.069008,80.265355,87.678162
Caffey  DBH delta >= 5,114.735091,114.234686,-0.500406,98.315888,107.207264,114.735091,114.234686,-0.500406,98.315888,107.207264
Caffey  DBH delta >= 5,137.68211,129.296825,-8.385284,115.184316,126.128754,137.68211,129.296825,-8.385284,115.184316,126.128754
Caffey  DBH delta >= 5,160.629128,142.513821,-18.115306,131.225334,143.586129,160.629128,142.513821,-18.115306,131.225334,143.586129
Caffey  DBH delta >= 5,183.576146,153.999902,-29.576244,145.386314,159.377148,183.576146,153.999902,-29.576244,145.386314,159.377148
Caffey  DBH delta >= 5,206.523164,165.118225,-41.404939,158.088665,173.649218,206.523164,165.118225,-41.404939,158.088665,173.649218
Caffey  DBH delta >= 5,229.470183,175.559047,-53.911135,170.679312,187.475653,229.470183,175.559047,-53.911135,170.679312,187.475653
Redtail  DBH delta >= 5,19.971536,26.562346,6.59081,15.597947,23.310104,19.971536,26.562346,6.59081,15.597947,23.310104
Redtail  DBH delta >= 5,39.943072,45.475438,5.532366,34.527527,43.094768,39.943072,45.475438,5.532366,34.527527,43.094768
Redtail  DBH delta >= 5,59.914609,62.715902,2.801293,52.433235,62.326761,59.914609,62.715902,2.801293,52.433235,62.326761
Redtail  DBH delta >= 5,79.886145,79.941062,0.054917,68.346778,78.817234,79.886145,79.941062,0.054917,68.346778,78.817234
Redtail  DBH delta >= 5,99.857681,97.450764,-2.406917,86.142476,96.698883,99.857681,97.450764,-2.406917,86.142476,96.698883
Redtail  DBH delta >= 5,119.829217,113.840079,-5.989138,100.845279,114.938981,119.829217,113.840079,-5.989138,100.845279,114.938981
Redtail  DBH delta >= 5,139.800753,130.688082,-9.112671,114.585648,131.923347,139.800753,130.688082,-9.112671,114.585648,131.923347
Redtail  DBH delta >= 5,159.77229,145.181053,-14.591237,127.928522,147.315979,159.77229,145.181053,-14.591237,127.928522,147.315979
Redtail  DBH delta >= 5,179.743826,157.840122,-21.903704,141.618132,162.173644,179.743826,157.840122,-21.903704,141.618132,162.173644
Redtail  DBH delta >= 5,199.715362,171.127792,-28.58757,153.885687,174.69236,199.715362,171.127792,-28.58757,153.885687,174.69236
