"","X.1","source","X","Y","TreeID99","Status99","Notes99","DBH99","TreeID13","Status13","Notes13","DBH13","uid","dbh.delta"
"1",1,"Red-Tail Ridge",-142.081476796913,207.884419742656,707,"L",NA,3,707,"D",NA,NA,1,NA
"2",2,"Red-Tail Ridge",208.955100495043,-69.5373053782733,634,"L",NA,3,634,"L","scarring",4,2,1
"3",3,"Red-Tail Ridge",150.974508709553,57.3493480338624,33,"L",NA,3,33,"D",NA,NA,3,NA
"4",4,"Red-Tail Ridge",20.1877486452241,247.398570092299,743,"L",NA,3,743,"D","Not found according to where mapped, possibly dead",NA,4,NA
"5",5,"Red-Tail Ridge",65.7605683192716,-65.7612929794298,941,"L",NA,3,941,"D",NA,NA,5,NA
"6",6,"Red-Tail Ridge",73.5471025560995,-65.0696834601382,943,"L",NA,3,943,"D",NA,NA,6,NA
"7",7,"Red-Tail Ridge",227.871498614773,142.662019148133,886,"L",NA,3,886,"L","Overtopped by black cherry; deep scar",5,7,2
"8",8,"Red-Tail Ridge",218.779710324794,-67.9158069388394,629,"L",NA,3,629,"D","Dead",NA,8,NA
"9",9,"Red-Tail Ridge",38.3723494936819,124.730961650806,790,"L",NA,3,790,"L",NA,6,9,3
"10",10,"Red-Tail Ridge",58.5686896093891,-74.1617057344223,873,"L","broken top",3,873,"L","Heavy scarring",4,10,1
"11",11,"Red-Tail Ridge",-31.9452029156477,207.048395276232,737,"L",NA,3,737,"L",NA,10,11,7
"12",12,"Red-Tail Ridge",187.169879739174,-18.6827759827911,588,"D","dead",4,588,"D",NA,NA,12,NA
"13",13,"Red-Tail Ridge",59.339508252336,-76.2258667407,872,"L","dead top",4,872,"D","Dead",NA,13,NA
"14",14,"Red-Tail Ridge",0.808434706021495,154.397883513104,794,"L",NA,4,794,"L",NA,9,14,5
"15",15,"Red-Tail Ridge",59.4056749849797,-65.0582491278312,939,"L",NA,4,939,"L","scarring; top broken",4,15,0
"16",16,"Red-Tail Ridge",143.573889675419,218.266323788113,967,"L",NA,4,967,"L",NA,9,16,5
"17",17,"Red-Tail Ridge",-143.098653003345,209.685275507906,834,"D","dead",4,834,"D",NA,NA,17,NA
"18",18,"Red-Tail Ridge",212.64046337212,185.957673294959,892,"L",NA,8,892,"L",NA,8,18,0
"19",19,"Red-Tail Ridge",185.823365585508,178.939734122745,968,"L",NA,4,968,"D",NA,NA,19,NA
"20",20,"Red-Tail Ridge",460.282519247418,-58.6224235559162,620,"L","growing in old road",4,620,"L",NA,5,20,1
"21",21,"Red-Tail Ridge",70.8136301918217,160.290159554224,699,"L",NA,4,699,"L","scarring",6,21,2
"22",22,"Red-Tail Ridge",-144.185520522522,210.575650270749,833,"L","BULLETPROOF!",4,833,"L",NA,5,22,1
"23",23,"Red-Tail Ridge",56.464377803246,-93.2350472692125,867,"L","broken top",4,867,"L","Fire scar; curved top, possible old fork",5,23,1
"24",24,"Red-Tail Ridge",46.0080678881558,135.924639742759,791,"L",NA,4,791,NA,NA,NA,24,NA
"25",25,"Red-Tail Ridge",-206.196390624337,193.110397059252,715,"L",NA,5,715,"D","Not found according to where mapped, possibly dead",NA,25,NA
"26",26,"Red-Tail Ridge",-93.6757223577543,145.919220943483,727,"L",NA,5,727,"D",NA,NA,26,NA
"27",27,"Red-Tail Ridge",19.3931725034069,113.454461614575,841,"L",NA,5,841,"D","Dead, broken abt 16 in. from base, some needles still green",6,27,1
"28",28,"Red-Tail Ridge",188.648352325336,-29.8797450614275,572,"L",NA,5,572,"L","Could not re-locate to get heights, possibly masticated by UXO clearing",5,28,0
"29",29,"Red-Tail Ridge",412.286464986941,-29.52145319793,624,"L",NA,5,624,"L",NA,10,29,5
"30",30,"Red-Tail Ridge",96.9858271126585,-84.9055907421503,668,"L",NA,5,668,"L",NA,6,30,1
"31",31,"Red-Tail Ridge",484.453627088607,-50.527998988589,622,"L","growing in old road",5,622,"L",NA,6,31,1
"32",32,"Red-Tail Ridge",56.086434575525,-99.133858275593,868,"L","lost terminal",5,868,"L","Fire scar",6,32,1
"33",33,"Red-Tail Ridge",54.2556209591551,-67.2405204793694,937,"L",NA,5,937,"L","scarring",6,33,1
"34",34,"Red-Tail Ridge",53.7366283172135,-57.224337279672,936,"D","dead 4/99",5,936,"D",NA,NA,34,NA
"35",35,"Red-Tail Ridge",40.8667241168481,240.020165278047,748,"L",NA,5,748,"D",NA,NA,35,NA
"36",36,"Red-Tail Ridge",236.052470816096,-0.99795692642752,569,"L",NA,5,569,"L","Heavy scarring",7,36,2
"37",37,"Red-Tail Ridge",213.796533903664,-71.806335848102,630,"L",NA,5,630,"L","Scar",6,37,1
