Stand,trees.n.99,trees.n.13,trees.dead.n.99,trees.dead.n.13,dbh.mean.99,dbh.max.99,dbh.mean.13,dbh.max.13,,,,
Caffey Hill,441,715,3,116,14.46363636,55,14.3361204,56,294,476.7,2,77.3
Red-Tail Ridge,483,495,10,72,20.34575569,71,24.10117647,62,268.3,275,5.6,40
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Tree Density (individuals/ha),,Mortality Density (individuals/ha),,Mean DBH (cm),,Max DBH (cm),,
,,,Stand,1999,2013,1999,2013,1999,2013,1999,2013,
,,,Caffey Hill,294,476.7,2,77.3,14.5,14.3,55,56,
,,,Red-Tail Ridge,268.3,275,5.6,40,20.3,24.1,71,62,
