Age (decades)          Area (ha)
     1                       0.0
     2                       0.0
     3                       0.0
     4                       0.0
     5                       0.0
     6                       0.0
     7                       0.0
     8                       0.0
     9                     297.7
    10                     172.4
    11                     160.5
    12                     298.3
    13                     118.1
    14                     282.4
    15                     469.6
    16                     615.9
    17                     760.4
    18                     464.4
    19                     112.9
    20                      69.6
