LID , TYPE , PLAND , NP , AREA_MN , PARA_MN
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_21 ,      27.4381 ,      54.0000 ,      35.1500 ,     318.0972
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_17 ,       1.6197 ,     364.0000 ,       0.3078 ,    1171.9867
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_6 ,      29.5015 ,     145.0000 ,      14.0748 ,     397.6919
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_1 ,      17.2565 ,      33.0000 ,      36.1745 ,     346.0028
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_16 ,       0.9601 ,       9.0000 ,       7.3800 ,     342.8927
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_10 ,      10.4574 ,      44.0000 ,      16.4414 ,     308.8637
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_5 ,       0.3552 ,      12.0000 ,       2.0475 ,     419.3893
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_20 ,       2.2299 ,      33.0000 ,       4.6745 ,     432.7712
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_18 ,       0.6011 ,       7.0000 ,       5.9400 ,     441.7351
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_12 ,       7.0709 ,      26.0000 ,      18.8135 ,     303.9843
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_15 ,       1.2672 ,      11.0000 ,       7.9691 ,     279.4812
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_14 ,       0.3539 ,       7.0000 ,       3.4971 ,     725.0182
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1800.tif , cls_11 ,       0.8886 ,       3.0000 ,      20.4900 ,     412.7946
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_8 ,      27.4381 ,      54.0000 ,      35.1500 ,     318.0972
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_17 ,       1.6197 ,     364.0000 ,       0.3078 ,    1171.9867
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_6 ,      29.5015 ,     145.0000 ,      14.0748 ,     397.6919
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_1 ,      17.2565 ,      33.0000 ,      36.1745 ,     346.0028
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_16 ,       0.9601 ,       9.0000 ,       7.3800 ,     342.8927
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_10 ,      10.4574 ,      44.0000 ,      16.4414 ,     308.8637
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_5 ,       0.3552 ,      12.0000 ,       2.0475 ,     419.3893
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_3 ,       2.2299 ,      33.0000 ,       4.6745 ,     432.7712
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_18 ,       0.6011 ,       7.0000 ,       5.9400 ,     441.7351
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_12 ,       7.0709 ,      26.0000 ,      18.8135 ,     303.9843
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_15 ,       1.2672 ,      11.0000 ,       7.9691 ,     279.4812
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_14 ,       0.3539 ,       7.0000 ,       3.4971 ,     725.0182
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr1900.tif , cls_11 ,       0.8886 ,       3.0000 ,      20.4900 ,     412.7946
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_9 ,      27.4381 ,      54.0000 ,      35.1500 ,     318.0972
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_17 ,       1.6197 ,     364.0000 ,       0.3078 ,    1171.9867
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_8 ,      14.2941 ,     111.0000 ,       8.9084 ,     359.9541
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_7 ,      13.1661 ,      99.0000 ,       9.2000 ,     364.7772
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_1 ,       4.4650 ,      33.0000 ,       9.3600 ,     289.6156
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_6 ,       1.4896 ,      28.0000 ,       3.6804 ,     617.4775
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_16 ,       0.9601 ,       9.0000 ,       7.3800 ,     342.8927
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_19 ,       0.5516 ,       8.0000 ,       4.7700 ,     368.3372
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_10 ,      10.4574 ,      44.0000 ,      16.4414 ,     308.8637
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_2 ,       7.1776 ,      36.0000 ,      13.7925 ,     337.7013
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_5 ,       0.3552 ,      12.0000 ,       2.0475 ,     419.3893
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_4 ,       2.2299 ,      33.0000 ,       4.6745 ,     432.7712
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_18 ,       0.6011 ,       7.0000 ,       5.9400 ,     441.7351
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_3 ,       5.6138 ,      41.0000 ,       9.4720 ,     325.5111
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_13 ,       7.0709 ,      26.0000 ,      18.8135 ,     303.9843
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_15 ,       1.2672 ,      11.0000 ,       7.9691 ,     279.4812
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_14 ,       0.3539 ,       7.0000 ,       3.4971 ,     725.0182
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab9Data\smithcr2000.tif , cls_11 ,       0.8886 ,       3.0000 ,      20.4900 ,     412.7946
