"","edge.area.ratio.mean.cover","edge.area.ratio.mean.100m","edge.area.ratio.mean.30m","edge.area.ratio.mean.500m"
"1","Aspen woodland",250.5922,279.4812,80
"2","Grassland-Artr",271.2875,368.3372,60
"3","Low sagebrush steppe-Arar",255.8554,289.6156,74
"4","Low sagebrush steppe with young juniper-Arar",238.8062,337.7013,64.5455
"5","Mountain big sagebrush steppe-Artr",278.713,617.4775,80
"6","Mountain riparian",379.4118,1171.9867,76
"7","Mountain shrub",295.1108,441.7351,0
"8","Old multi-story juniper woodland-Arar",330.303,419.3893,80
"9","Old multi-story juniper woodland-Artr",265.5409,308.8637,70.3333
"10","Old multi-story juniper woodland-Cele",354,725.0182,0
"11","Open young juniper woodland-Arar",241.4198,325.5111,64
"12","Open young juniper woodland-Artr",267.7489,359.9541,73.0089
"13","Sagebrush steppe with young juniper -Cele",291.6667,412.7946,66.6667
"14","Sagebrush steppe with yourng juniper-Artr",279.8025,364.7772,73.9394
"15","Wet meadow",306.3199,342.8927,80
"16","Young multi-story juniper woodland-Arar",306.7513,432.7712,73.3333
"17","Young multi-story juniper woodland-Artr",240.9904,318.0972,59.2032
"18","Young multi-story juniper woodland-Cele",253.5776,303.9843,73.9394
