,Mean Patch Area,,,Landscape Percentage,,,Patch Count,,,Mean Edge:Area Ratio,,,,,,,,,,,,,,,
Cover Class,30 m,100 m,500 m,30 m,100 m,500 m,30 m,100 m,500 m,30 m,100 m,500 m,,,,,,,,,,,,,
Aspen woodland,7.9691,8.3,25,1.2672,1.2008,1.0714,11,10,3,279.4812,250.5922,80,,8,8.3,25,1.3,1.2,1.1,11,10,3,#REF!,#REF!,#REF!
Grassland-Artr,4.77,4.6667,50,0.5516,0.6076,0.7143,8,9,1,368.3372,271.2875,60,,4.8,4.7,50,0.6,0.6,0.7,8,9,1,#REF!,#REF!,#REF!
Low sagebrush steppe-Arar,9.36,9.5,45,4.465,4.3981,3.2143,33,32,5,289.6156,255.8554,74,,9.4,9.5,45,4.5,4.4,3.2,33,32,5,#REF!,#REF!,#REF!
Low sagebrush steppe with young juniper-Arar,13.7925,18.5556,100,7.1776,7.2483,8.5714,36,27,6,337.7013,238.8062,64.5455,,13.8,18.6,100,7.2,7.2,8.6,36,27,6,#REF!,#REF!,#REF!
Mountain big sagebrush steppe-Artr,3.6804,6,25,1.4896,1.5625,1.4286,28,18,4,617.4775,278.713,80,,3.7,6,25,1.5,1.6,1.4,28,18,4,#REF!,#REF!,#REF!
Mountain riparian,0.3078,1.4471,30,1.6197,1.7795,2.1429,364,85,5,1171.9867,379.4118,76,,0.3,1.4,30,1.6,1.8,2.1,364,85,5,#REF!,#REF!,#REF!
Mountain shrub,5.94,6,0,0.6011,0.6076,0,7,7,0,441.7351,295.1108,0,,5.9,6,0,0.6,0.6,0,7,7,0,#REF!,#REF!,#REF!
Old multi-story juniper woodland-Arar,2.0475,2.3636,25,0.3552,0.3762,1.0714,12,11,3,419.3893,330.303,80,,2,2.4,25,0.4,0.4,1.1,12,11,3,#REF!,#REF!,#REF!
Old multi-story juniper woodland-Artr,16.4414,18.15,72.5,10.4574,10.5035,10.3571,44,40,10,308.8637,265.5409,70.3333,,16.4,18.2,72.5,10.5,10.5,10.4,44,40,10,#REF!,#REF!,#REF!
Old multi-story juniper woodland-Cele,3.4971,4.8,0,0.3539,0.3472,0,7,5,0,725.0182,354,0,,3.5,4.8,0,0.4,0.3,0,7,5,0,#REF!,#REF!,#REF!
Open young juniper woodland-Arar,9.472,10.1053,75,5.6138,5.5556,5.3571,41,38,5,325.5111,241.4198,64,,9.5,10.1,75,5.6,5.6,5.4,41,38,5,#REF!,#REF!,#REF!
Open young juniper woodland-Artr,8.9084,10.25,68.75,14.2941,14.2361,15.7143,111,96,16,359.9541,267.7489,73.0089,,8.9,10.3,68.8,14.3,14.2,15.7,111,96,16,#REF!,#REF!,#REF!
Sagebrush steppe with young juniper -Cele,20.49,22,50,0.8886,0.9549,1.4286,3,3,2,412.7946,291.6667,66.6667,,20.5,22,50,0.9,1,1.4,3,3,2,#REF!,#REF!,#REF!
Sagebrush steppe with yourng juniper-Artr,9.2,10.3563,43.1818,13.1661,13.0353,13.5714,99,87,22,364.7772,279.8025,73.9394,,9.2,10.4,43.2,13.2,13,13.6,99,87,22,#REF!,#REF!,#REF!
Wet meadow,7.38,6.6,25,0.9601,0.9549,0.3571,9,10,1,342.8927,306.3199,80,,7.4,6.6,25,1,1,0.4,9,10,1,#REF!,#REF!,#REF!
Young multi-story juniper woodland-Arar,4.6745,5.8519,33.3333,2.2299,2.2859,1.4286,33,27,3,432.7712,306.7513,73.3333,,4.7,5.9,33.3,2.2,2.3,1.4,33,27,3,#REF!,#REF!,#REF!
Young multi-story juniper woodland-Artr,35.15,39.2292,142.3077,27.4381,27.2425,26.4286,54,48,13,318.0972,240.9904,59.2032,,35.2,39.2,142.3,27.4,27.2,26.4,54,48,13,#REF!,#REF!,#REF!
Young multi-story juniper woodland-Cele,18.8135,18.8846,45.4545,7.0709,7.1036,7.1429,26,26,11,303.9843,253.5776,73.9394,,18.8,18.9,45.5,7.1,7.1,7.1,26,26,11,#REF!,#REF!,#REF!
