"","patch.count.cover","patch.count.1800","patch.count.1900","patch.count.2000"
"1","Aspen woodland",11,11,11
"2","Grassland-Artr",0,0,8
"3","Low sagebrush steppe-Arar",33,33,33
"4","Low sagebrush steppe with young juniper-Arar",0,0,36
"5","Mountain big sagebrush steppe-Artr",145,145,28
"6","Mountain riparian",364,364,364
"7","Mountain shrub",7,7,7
"8","Old multi-story juniper woodland-Arar",12,12,12
"9","Old multi-story juniper woodland-Artr",44,44,44
"10","Old multi-story juniper woodland-Cele",7,7,7
"11","Open young juniper woodland-Arar",0,33,41
"12","Open young juniper woodland-Artr",0,54,111
"13","Open young woodland-Cele",26,26,0
"14","Sagebrush steppe or sagebrush with young juniper-Arar",33,0,0
"15","Sagebrush steppe or sagebrush with young juniper-Artr",54,0,0
"16","Sagebrush steppe with young juniper -Cele",3,3,3
"17","Sagebrush steppe with yourng juniper-Artr",0,0,99
"18","Wet meadow",9,9,9
"19","Young multi-story juniper woodland-Arar",0,0,33
"20","Young multi-story juniper woodland-Artr",0,0,54
"21","Young multi-story juniper woodland-Cele",0,0,26
